143,asdfthere are lots of people in the park.RAW
253,asdfthe man is gorgeous.RAW
174,asdfthe woman is smiling.RAW
853,asdfthe man takes a picture.RAW
528,asdfthree peppers are big.RAW
948,asdfthe building is like a pyramid.RAW
152,asdfriver is under the bridge.RAW
573,asdfThe house has windows and doors.RAW
133,asdfthe boat sails a big river .RAW
522,asdfThe celebrity posed for the picture.RAW
435,asdfthere are lots of ariplane.RAW
553,asdfThe woman is looking at the man .RAW
244,asdflena is famous person.RAW
112,asdfthe woman is wearing a hat.RAW
116,asdfthere are cars and people.RAW
752,asdfairplane fly on the mountain.RAW
968,asdfthere are numbers and chinese characters.RAW
382,asdffence is near trees.RAW